semanas;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variavel;variacao
2;42;5;0;37;0,5595238095238095;1,0;0,5316455696202531;0,6942148760330578;ocsvm;dfreq;20-60
3;42;15;0;27;0,6785714285714286;1,0;0,6086956521739131;0,7567567567567568;ocsvm;dfreq;20-60
4;42;20;0;22;0,7380952380952381;1,0;0,65625;0,7924528301886793;ocsvm;dfreq;20-60
5;42;22;0;20;0,7619047619047619;1,0;0,6774193548387096;0,8076923076923077;ocsvm;dfreq;20-60
6;42;23;0;19;0,7738095238095238;1,0;0,6885245901639344;0,8155339805825244;ocsvm;dfreq;20-60
7;42;22;0;20;0,7619047619047619;1,0;0,6774193548387096;0,8076923076923077;ocsvm;dfreq;20-60
8;42;23;0;19;0,7738095238095238;1,0;0,6885245901639344;0,8155339805825244;ocsvm;dfreq;20-60
9;42;26;0;16;0,8095238095238095;1,0;0,7241379310344828;0,8400000000000001;ocsvm;dfreq;20-60
10;42;26;0;16;0,8095238095238095;1,0;0,7241379310344828;0,8400000000000001;ocsvm;dfreq;20-60
11;42;28;0;14;0,8333333333333334;1,0;0,75;0,8571428571428571;ocsvm;dfreq;20-60
12;42;28;0;14;0,8333333333333334;1,0;0,75;0,8571428571428571;ocsvm;dfreq;20-60
13;42;28;0;14;0,8333333333333334;1,0;0,75;0,8571428571428571;ocsvm;dfreq;20-60
14;42;28;0;14;0,8333333333333334;1,0;0,75;0,8571428571428571;ocsvm;dfreq;20-60
15;42;28;0;14;0,8333333333333334;1,0;0,75;0,8571428571428571;ocsvm;dfreq;20-60
16;42;29;0;13;0,8452380952380952;1,0;0,7636363636363637;0,865979381443299;ocsvm;dfreq;20-60
17;42;29;0;13;0,8452380952380952;1,0;0,7636363636363637;0,865979381443299;ocsvm;dfreq;20-60
18;42;30;0;12;0,8571428571428571;1,0;0,7777777777777778;0,8750000000000001;ocsvm;dfreq;20-60
19;42;31;0;11;0,8690476190476191;1,0;0,7924528301886793;0,8842105263157896;ocsvm;dfreq;20-60
20;42;31;0;11;0,8690476190476191;1,0;0,7924528301886793;0,8842105263157896;ocsvm;dfreq;20-60
