semanas;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variacao;atividade
2;8;54;22;2;0,7209302325581395;0,26666666666666666;0,8;0,4;iforest;20-60;whandface
3;12;53;18;2;0,7647058823529411;0,4;0,8571428571428571;0,5454545454545455;iforest;20-60;whandface
4;13;52;17;2;0,7738095238095238;0,43333333333333335;0,8666666666666667;0,5777777777777778;iforest;20-60;whandface
5;13;52;17;2;0,7738095238095238;0,43333333333333335;0,8666666666666667;0,5777777777777778;iforest;20-60;whandface
6;6;52;24;2;0,6904761904761905;0,2;0,75;0,31578947368421056;iforest;20-60;whandface
7;8;52;22;2;0,7142857142857143;0,26666666666666666;0,8;0,4;iforest;20-60;whandface
8;7;53;23;2;0,7058823529411765;0,23333333333333334;0,7777777777777778;0,35897435897435903;iforest;20-60;whandface
9;8;54;22;2;0,7209302325581395;0,26666666666666666;0,8;0,4;iforest;20-60;whandface
10;6;54;24;2;0,6976744186046512;0,2;0,75;0,31578947368421056;iforest;20-60;whandface
11;6;54;24;2;0,6976744186046512;0,2;0,75;0,31578947368421056;iforest;20-60;whandface
12;9;54;21;2;0,7325581395348837;0,3;0,8181818181818182;0,43902439024390244;iforest;20-60;whandface
13;10;53;20;2;0,7411764705882353;0,3333333333333333;0,8333333333333334;0,47619047619047616;iforest;20-60;whandface
14;9;54;21;2;0,7325581395348837;0,3;0,8181818181818182;0,43902439024390244;iforest;20-60;whandface
15;11;54;19;2;0,7558139534883721;0,36666666666666664;0,8461538461538461;0,5116279069767441;iforest;20-60;whandface
16;10;54;20;2;0,7441860465116279;0,3333333333333333;0,8333333333333334;0,47619047619047616;iforest;20-60;whandface
17;12;54;18;2;0,7674418604651163;0,4;0,8571428571428571;0,5454545454545455;iforest;20-60;whandface
18;11;54;19;2;0,7558139534883721;0,36666666666666664;0,8461538461538461;0,5116279069767441;iforest;20-60;whandface
19;13;54;17;2;0,7790697674418605;0,43333333333333335;0,8666666666666667;0,5777777777777778;iforest;20-60;whandface
20;14;53;16;2;0,788235294117647;0,4666666666666667;0,875;0,608695652173913;iforest;20-60;whandface
